gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	log2FC_abs	padj_score	expr_score	TargetScore	direction	is_actionable_known
SEMA5B	2981.57261613713	5.31180134935299	0.123113478509808	5.89370541854082e-269	1.32908950893514e-264	5.31180134935299	263.876445770052	3.47459102615755	137.944942439611	Up_in_Tumor	FALSE
MIR4508	548.030292096035	5.89557537176801	0.185365304955011	5.05383882141678e-216	5.69845596308849e-212	5.89557537176801	211.244242803547	2.73959630679476	112.0656160349	Up_in_Tumor	FALSE
PYCR1	6380.4328714426	3.72900207409341	0.12298819104703	4.06821398544778e-203	3.05807645286109e-199	3.72900207409341	198.514551661291	3.80491820509922	103.747261545759	Up_in_Tumor	FALSE
FAM83A	5599.75074361796	6.73567507760029	0.235040700465202	3.53058224589277e-183	1.99045400567819e-179	6.73567507760029	178.701047853403	3.74824624521292	96.8358482533444	Up_in_Tumor	FALSE
TUBB3	4301.21182616075	4.90304887746628	0.193404040772086	6.12285324254321e-144	2.30127439120987e-140	4.90304887746628	139.638031595376	3.63369178974925	75.448803033104	Up_in_Tumor	FALSE
ETV4	2159.08091575637	3.80062536478208	0.153740311542057	1.79920823472708e-136	5.07174311266629e-133	3.80062536478208	132.294842751888	3.33447001995107	70.6149407447165	Up_in_Tumor	FALSE
C16orf59	265.644399288773	3.47971558273547	0.140869374988624	1.52389433122922e-136	4.90933443765001e-133	3.47971558273547	132.308977381533	2.42593246601055	70.1193907667038	Up_in_Tumor	FALSE
AFAP1-AS1	3173.79680152526	6.30332277609475	0.26466840334173	6.03509427584356e-128	9.0731607343032e-125	6.30332277609475	124.042241395372	3.50171593410033	69.0247866606007	Up_in_Tumor	FALSE
B3GNT3	2178.92906616587	4.36620673470843	0.182565961040855	5.79401725292397e-128	9.0731607343032e-125	4.36620673470843	124.042241395372	3.33844236210279	67.0550159048149	Up_in_Tumor	FALSE
TOP2A	5461.46878302626	3.87643138886308	0.161491981623064	4.18258135073467e-126	4.96428379160093e-123	3.87643138886308	122.304143399292	3.73738896807492	65.775980882124	Up_in_Tumor	FALSE
SAPCD2	875.067164157203	3.73986256914276	0.158330361775535	8.69754143213921e-125	9.80691284180856e-122	3.73986256914276	121.008467684442	2.94253740286294	64.8326038919363	Up_in_Tumor	FALSE
IQGAP3	1361.31191022652	3.57708421027921	0.152485923083094	5.99033132401066e-123	5.87338963859845e-120	3.57708421027921	119.231111187258	3.13427655352516	63.8194951146135	Up_in_Tumor	FALSE
LOC100131726	167.282812536012	6.44291943283107	0.281094740020535	2.35111711266097e-117	1.8282773106075e-114	6.44291943283107	113.737957930412	2.22603976183475	63.7571063504038	Up_in_Tumor	FALSE
CRABP2	8361.05436856926	5.61607385078819	0.250819724191153	5.98213056340303e-113	3.74730628709171e-110	5.61607385078819	109.426280808279	3.92231298692796	61.1136768523131	Up_in_Tumor	FALSE
UBE2T	851.286567022263	3.30772471723193	0.145884139032306	2.06070450836696e-115	1.40821052630858e-112	3.30772471723193	111.851332413674	2.93058564353578	59.8195080527763	Up_in_Tumor	FALSE
KIF4A	713.992061559499	3.8072302679169	0.168828067848038	3.87030156197246e-114	2.49369058640117e-111	3.8072302679169	110.603157434159	2.85430121992689	59.679669228982	Up_in_Tumor	FALSE
ADM2	749.627151358539	3.43309739688443	0.153090079116303	6.97119239930034e-113	4.24884756207087e-110	3.43309739688443	109.371728850021	2.87542426947211	58.6940466757894	Up_in_Tumor	FALSE
ABCA12	593.60740164656	5.30977965642359	0.243875980800865	2.2611119211952e-107	1.13311855410829e-104	5.30977965642359	103.945724649094	2.77423031098101	57.8374880431667	Up_in_Tumor	FALSE
TMPRSS4	5416.55058685442	4.85224473213694	0.222503495178329	1.47617927010576e-107	7.74170202794302e-105	4.85224473213694	104.11116354835	3.73380297527366	57.6545871013669	Up_in_Tumor	FALSE
MEX3A	1336.67026064042	4.16176004270912	0.188948100888886	4.68723478258054e-109	2.71030337389676e-106	4.16176004270912	105.566982094279	3.12634907185261	57.570520904219	Up_in_Tumor	FALSE
CDC20	1538.25342983003	3.78269090724792	0.171709530284809	2.68560379849914e-109	1.5937645068409e-106	3.78269090724792	105.797575849148	3.18731012997805	57.3189408578173	Up_in_Tumor	FALSE
PTPRH	770.160024462402	5.26582102506651	0.243145725564094	6.06111536477856e-106	2.73368425182242e-103	5.26582102506651	102.563251649099	2.88714450843968	57.1248757513039	Up_in_Tumor	FALSE
MMP11	6590.74206518562	5.31646364151408	0.258767765723402	6.25037084815942e-105	2.47284408766391e-102	5.31646364151408	101.606803264958	3.81900020508193	56.8836653150093	Up_in_Tumor	FALSE
NEK2	430.109393098762	3.72680865531145	0.170197951143915	3.49146855202252e-108	1.9684026829165e-105	3.72680865531145	104.705886051698	2.6345874854531	56.606669178251	Up_in_Tumor	FALSE
HJURP	695.056139020473	3.83693932374543	0.175389511997918	1.81425204415063e-107	9.29845405628199e-105	3.83693932374543	104.031589250439	2.84264426817894	56.4212628026008	Up_in_Tumor	FALSE
UHRF1	717.876740268584	3.38087600171202	0.154141576963251	6.04106477652747e-108	3.24362028036836e-105	3.38087600171202	104.488969992868	2.85665443195425	56.1966918845369	Up_in_Tumor	FALSE
CDC25C	202.003759980313	3.69845078995496	0.169392303109178	3.41164184704725e-107	1.67252033245136e-104	3.69845078995496	103.776628593908	2.30750408187173	56.0482659032835	Up_in_Tumor	FALSE
KIF14	436.67262398428	3.68526356167498	0.169953327600584	2.82943551217028e-106	1.3293041715615e-103	3.68526356167498	102.876375632364	2.64114938274657	55.6516812544061	Up_in_Tumor	FALSE
ASPM	952.971202851932	3.64930064645754	0.168074364255346	4.88011275035814e-105	2.03798930802456e-102	3.64930064645754	101.690798098778	2.97953526502772	55.0906067488522	Up_in_Tumor	FALSE
COL10A1	2855.78463851964	4.64524229589232	0.216752530157294	1.42431558752335e-102	4.94149858680602e-100	4.64524229589232	99.3061413245007	3.45587750190606	54.9894884585239	Up_in_Tumor	FALSE
UBE2C	1336.04901002506	4.16454343461064	0.194878111751463	5.27973320534413e-103	1.95185677891337e-100	4.16454343461064	99.7095520526578	3.12614732677832	54.6445489262952	Up_in_Tumor	FALSE
TMEM184A	1817.44227153864	3.05572058559265	0.141545634768237	6.05739909518472e-105	2.43929298206269e-102	3.05572058559265	101.612736033696	3.25969951845085	54.5140285061306	Up_in_Tumor	FALSE
PITX2	326.825872109117	8.02418414810405	0.392823135913206	1.04665178498697e-94	2.43330354672588e-92	8.02418414810405	91.6138037108616	2.51564322522848	54.3342146485805	Up_in_Tumor	FALSE
CYP24A1	4293.30242207927	6.68471897531698	0.324378578347977	6.36107736710574e-97	1.61178264837755e-94	6.68471897531698	93.7926935239296	3.63289262594452	54.3076442624707	Up_in_Tumor	FALSE
GOLM1	13458.5071421111	2.63294886509027	0.121837838404573	5.90245344475405e-105	2.42011322968452e-102	2.63294886509027	101.616164314236	4.1290291572594	54.2668368536601	Up_in_Tumor	FALSE
OTUD1	1147.35487018128	-2.12895309119211	0.0802443966427198	1.44979030190511e-155	6.53884421965244e-152	2.12895309119211	151.184499009074	3.06007611658626	78.3332178190465	Down_in_Tumor	FALSE
PECAM1	6265.54972140272	-2.25515080607446	0.0914053875313471	9.5014205383447e-136	2.38073927289124e-132	2.25515080607446	131.623288163833	3.79702848989135	68.8262005859691	Down_in_Tumor	FALSE
EPAS1	28366.5670191503	-2.7028681809052	0.110874502807483	6.86123548371488e-132	1.40661564902959e-128	2.7028681809052	127.851824555237	4.45282208956857	67.5193448764373	Down_in_Tumor	FALSE
LOC158376	62.9175692952903	-2.72050121742416	0.11106629544932	6.32281272745057e-133	1.42585749816738e-129	2.72050121742416	128.845923876204	1.80562025094745	67.5045872057155	Down_in_Tumor	FALSE
SEMA3G	738.57303153838	-3.26447076931304	0.134074616719589	2.81561268509043e-131	5.2912401384562e-128	3.26447076931304	127.276442527933	2.86898106626809	67.4764882465332	Down_in_Tumor	FALSE
STX11	844.120953157904	-3.05205758266509	0.12539010555351	3.3093255947109e-131	5.74066165279427e-128	3.05205758266509	127.241038049136	2.92691886934009	67.2579603811009	Down_in_Tumor	FALSE
C13orf15	3480.52761573822	-2.87946087014154	0.120087659949074	1.70520274401983e-127	2.40337669252445e-124	2.87946087014154	123.619178154846	3.54176984438167	65.3974039164408	Down_in_Tumor	FALSE
S1PR1	1807.76619182515	-2.85563512069024	0.119473451683972	1.22414243844074e-126	1.623860948781e-123	2.85563512069024	122.789451162141	3.25738243188872	64.9018371881384	Down_in_Tumor	FALSE
ACVRL1	2310.52350339865	-2.55481776642884	0.10697463037726	1.75713942677478e-126	2.20140284517767e-123	2.55481776642884	122.657300476561	3.36389831367046	64.5562476674435	Down_in_Tumor	FALSE
RTKN2	1957.75458557094	-4.13328062341338	0.175347326232384	4.2098181733061e-123	4.31525498301027e-120	4.13328062341338	119.364993537274	3.29198002618926	64.4741733972881	Down_in_Tumor	FALSE
TEK	985.388025082847	-3.27078066665115	0.138404607017688	7.94426639016685e-124	8.53100720784061e-121	3.27078066665115	120.068999691109	2.99404779121135	63.9040900704478	Down_in_Tumor	FALSE
HSPA12B	442.734247844565	-2.80593865677638	0.119476769382158	2.35801613061503e-122	2.21565090672915e-119	2.80593865677638	118.654498665074	2.64712294928432	62.6626125791701	Down_in_Tumor	FALSE
RAMP3	1155.11695589712	-3.23348939270299	0.138609263019947	8.83769057454673e-121	7.97195040586413e-118	3.23348939270299	117.098435411744	3.06300177070343	62.3953074527155	Down_in_Tumor	FALSE
LDB2	1127.59638836233	-2.64431872970116	0.113655753499268	3.42037533483742e-120	2.96664939138149e-117	2.64431872970116	116.527733777035	3.05253865614418	61.5186933494476	Down_in_Tumor	FALSE
PTPN21	1303.47791016098	-2.47459133579369	0.106854298848227	4.36546248346449e-119	3.64613127646695e-116	2.47459133579369	115.438167698923	3.11543672921898	60.8167625310991	Down_in_Tumor	FALSE
